"start","end","text","speaker"
"1480","10260"," So going back to SER and ESTAR, and the difference between SER and ESTAR, how would you say sincerity in Spanish?","Speaker 1"
"10720","11320"," Sincerity.","Speaker 1"
"12660","14480"," Is it SINCERIDAD?","Speaker 1"
"14620","15960"," It is SINCERIDAD.","Speaker 1"
"16220","22660"," So if you had to guess what is SINCER in Spanish, what would you guess?","Speaker 1"
"24560","25160"," SINCERO.","Speaker 2"
"25540","26140"," SINCERO.","Speaker 1"
"26280","26880"," SINCERO.","Speaker 1"
"26940","27460"," SINCERO.","Speaker 1"
"27460","39300"," Good, so there's no rule for this, but if we have SINCERITY becoming SINCERIDAD, we can guess that SINCER will be very similar in Spanish and we can play around and try to find the SINCERO.","Speaker 1"
"39520","39700"," Good.","Speaker 1"
"40080","44280"," So do you think to be SINCER is a state or a characteristic?","Speaker 1"
"46040","49200"," It can be both, depending on the situation.","Speaker 2"
"49640","61840"," Indeed, but if you look at the concept, the concept of SINCER, because this is how Spanish decides it, the concept of SINCER, is it a state or a characteristic to be SINCER?","Speaker 1"
"63200","76140"," Well, if it's generally, it's a characteristic, but if someone, we're talking about that moment that someone is saying something, then in that moment, they're being, they're in that state of being SINCER.","Speaker 2"
"76340","85040"," You're right, and our usage, and that's what we're going to look at now, can get around that, but Spanish is not looking at the use, it's looking just at the concept by itself.","Speaker 1"
"85420","88360"," So SINCERITY, is it a characteristic or is it a state?","Speaker 1"
"89080","90000"," It's a characteristic.","Speaker 1"
"90160","90420"," Good.","Speaker 1"
"90860","92060"," So it goes with SER.","Speaker 1"
"92800","95660"," So if you want to say, I am SINCER, how would you say it?","Speaker 1"
"97680","99560"," Soy SINCERO, SINCERA.","Speaker 2"
"99720","99960"," Good.","Speaker 1"
"100180","101340"," Soy SINCERA.","Speaker 1"
"101600","101820"," Good.","Speaker 1"
"102120","104140"," And we are SINCER?","Speaker 1"
"107500","109960"," Somos SINCERAS, if it's women.","Speaker 2"
"110340","110660"," Good.","Speaker 1"
"110880","111780"," Or SINCEROS.","Speaker 2"
"111780","112080"," Good.","Speaker 2"
"112720","117420"," But as you correctly said, you might want to say, I'm being SINCER now.","Speaker 1"
"117920","126860"," So to give the meaning of I am being SINCER, you would say very literally, I am being SINCER.","Speaker 1"
"127360","128360"," So how would you say that?","Speaker 1"
"128639","130660"," I am being SINCER.","Speaker 1"
"133490","136410"," Estoy, I forgot the word for being.","Speaker 2"
"137070","141590"," SER is to be, in this case, no, because it refers to SINCERO.","Speaker 1"
"142230","144390"," So how would you make that ING?","Speaker 1"
"146610","148550"," VENDER, VENDIENDO, SER.","Speaker 1"
"150670","153010"," Estoy SIENTO SINCERO.","Speaker 2"
"153310","154530"," Or in your case, it would be?","Speaker 1"
"154570","155090"," SINCERA.","Speaker 2"
"155170","155410"," Good.","Speaker 1"
"155630","158710"," Estoy siendo SINCERA or Estoy siendo SINCERO.","Speaker 1"
"159410","162190"," HONEST, in Spanish is HONESTO, HONESTO.","Speaker 1"
"162430","164310"," So how would you say, we are being HONEST?","Speaker 1"
"167350","169330"," Estamos SIENTO HONESTOS.","Speaker 2"
"169330","169910"," Good.","Speaker 1"
"170590","172170"," Estamos siendo HONESTOS.","Speaker 1"
"172570","177030"," So to be honest, as an idea, is CHARACTERISTIC.","Speaker 1"
"177470","180170"," But this doesn't restrict us in Spanish.","Speaker 1"
"180270","186310"," Of course, if you want to say, we are being HONEST, we can do that in exactly the same way as we do in English.","Speaker 1"
