"start","end","text","speaker"
"1100","2960"," How would you say to ventilate?","Speaker 1"
"4960","5440"," Ventilar.","Speaker 2"
"5680","7300"," Yeah, Ventilación, Ventilar.","Speaker 1"
"7680","8900"," How would you say to separate?","Speaker 1"
"11260","11740"," Separar.","Speaker 1"
"12260","13400"," Good, separar.","Speaker 1"
"14000","19380"," So in English what we pronounce is separate maybe like an E sound, but if you look at how it's written it's an A.","Speaker 1"
"19900","20680"," Separar, good.","Speaker 1"
"21380","23940"," So how was to know?","Speaker 1"
"24460","26200"," Something to do with savvy?","Speaker 1"
"29680","30240"," Saber.","Speaker 1"
"30520","30800"," Saber.","Speaker 2"
"30800","30980"," Saber.","Speaker 2"
"31040","31380"," With a B.","Speaker 1"
"31800","35740"," Another way to remember this is homo sapien, there's that connection there.","Speaker 1"
"35920","40580"," The homo sapien is the wise creature, supposedly.","Speaker 1"
"41760","42900"," And how was to come?","Speaker 1"
"45510","46070"," Convenient.","Speaker 1"
"47010","47430"," Venir.","Speaker 1"
"47570","48730"," Venir, good.","Speaker 1"
"48870","53170"," So we can remember that convenient is with coming, when things come together they are convenient.","Speaker 1"
"53890","61770"," We've seen the two forms of the verb end in R and the I form most of the time ends in O.","Speaker 1"
"62150","64750"," For example, I want, how was that?","Speaker 1"
"66390","66790"," Quiero.","Speaker 2"
"67510","69910"," I owe, which we can use like must.","Speaker 1"
"70990","71210"," Debo.","Speaker 2"
"72730","73530"," I try.","Speaker 1"
"75610","76210"," Intento.","Speaker 1"
"76210","77090"," Intento.","Speaker 1"
"77750","81870"," Unless the verb is irregular, and we know some irregular verbs already.","Speaker 1"
"82050","83310"," We saw I am going.","Speaker 1"
"84590","85150"," Voy.","Speaker 1"
"85350","85630"," Voy.","Speaker 1"
"85790","87650"," So that doesn't end in O or in O.","Speaker 1"
"87950","88490"," Voy.","Speaker 1"
"88770","89890"," It's an irregular verb.","Speaker 1"
"90310","91130"," So how does this work?","Speaker 1"
"91210","102890"," Now, all two verbs, all verbs in the TO form when we say to go, to want, to segregate.","Speaker 1"
"103410","104970"," How would you say to segregate?","Speaker 1"
"107830","108430"," Segregation.","Speaker 2"
"108430","109030"," Segregación.","Speaker 2"
"110130","110730"," Segregar.","Speaker 2"
"110870","111210"," There you are.","Speaker 1"
"111870","115910"," All of them in the TO form end in the letter R.","Speaker 1"
"116650","121470"," They either end in AR, ER, or IR.","Speaker 1"
"122810","124330"," We have an example of each.","Speaker 1"
"124390","135190"," We have like a thousand examples of the ones that end in AR because this is the word that we're using to build these from, for example, simulation, simulación, simular.","Speaker 1"
"136530","136990"," Revelación.","Speaker 1"
