"start","end","text","speaker"
"1420","9280"," We have one more time in Spanish to learn, one more verb time, and that's the point in the past.","Speaker 1"
"9960","20180"," The one that usually we would express with ED in English, wanted, walked, or, you know, the irregular versions, ran, ate.","Speaker 1"
"20780","28220"," This is the point in the past, and it's much more random than the other tenses that we looked at.","Speaker 1"
"28220","35420"," The point in the past is a little bit more messy, but we will find some logic in it.","Speaker 1"
"35980","38460"," It's just not the same one that we've been seeing until now.","Speaker 1"
"38860","44280"," So we will practice with HABLAR for our verbs and with COMER for our IR verbs.","Speaker 1"
"44520","51620"," And we will use these verbs as our hooks that we can look back to when we need to remember one of these endings.","Speaker 1"
"52260","54040"," So, I spoke.","Speaker 1"
"54340","56760"," I spoke is HABLE.","Speaker 1"
"57960","63660"," Can you tell me what I did there, then, to get I spoke from to speak, from HABLAR?","Speaker 1"
"65320","68500"," You took off the AR ending and added an E.","Speaker 2"
"68680","69040"," Good.","Speaker 2"
"69540","70280"," Anything else?","Speaker 1"
"71600","73320"," Well, the accent is on the E.","Speaker 2"
"73500","73960"," Perfect.","Speaker 1"
"74920","75240"," HABLE.","Speaker 1"
"75820","76260"," Good.","Speaker 1"
"76260","84880"," So that's I spoke, and he, she, it, or you formal spoke is HABLO.","Speaker 1"
"85000","85520"," HABLO.","Speaker 1"
"86440","86960"," Good.","Speaker 1"
"87100","89640"," And what did I do there to get HABLO from HABLAR?","Speaker 1"
"91140","93500"," You took off the AR and you put an O.","Speaker 2"
"93820","94200"," OK.","Speaker 1"
"95140","95980"," And what did...","Speaker 1"
"95980","97100"," The accent is on the O.","Speaker 2"
"97380","97700"," Good.","Speaker 1"
"98080","101480"," So, remember when we said how important the accent was in the present?","Speaker 1"
"101480","105520"," Because if you stress HABLO, I speak.","Speaker 1"
"105780","110100"," If you stress it wrong, we said that we all get this version in the past.","Speaker 1"
"110720","111200"," HABLO.","Speaker 1"
"111620","114080"," He, she, it, and you formal spoke.","Speaker 1"
"115020","116320"," What was I didn't speak?","Speaker 1"
"117980","118740"," No HABLO.","Speaker 1"
"119440","120460"," Sorry, no HABLE.","Speaker 2"
"120720","121200"," No HABLE.","Speaker 1"
"121320","125400"," And that might happen to you often, because we have such a strong connection between O and I.","Speaker 1"
"125820","127900"," But in this point in the past, it's E.","Speaker 1"
"127900","132660"," And he didn't speak, or she didn't speak, or you formal didn't speak?","Speaker 1"
"134200","134900"," No HABLO.","Speaker 2"
"135000","136120"," No HABLO.","Speaker 1"
"136240","136480"," Good.","Speaker 1"
"137160","138060"," What was to buy?","Speaker 1"
"142730","143130"," Good.","Speaker 2"
"143710","144030"," COMPRAR.","Speaker 1"
"144230","149670"," So if you come up with COMPRIR, for example, and it doesn't feel right, you can just run a little check and change the ending.","Speaker 1"
"149890","151150"," COMPRIR, COMPRER, COMPRAR.","Speaker 1"
"151270","155210"," And the one that you heard before is going to be the one that jumps out at you.","Speaker 1"
"155430","155830"," COMPRAR.","Speaker 1"
"155830","157590"," So how would you say, I bought?","Speaker 1"
"159750","160190"," COMPRÉ.","Speaker 1"
"160590","161810"," And I bought it?","Speaker 1"
"163430","164190"," LO COMPRÉ.","Speaker 1"
"164770","165970"," I didn't buy it?","Speaker 1"
"167850","168710"," NO LO COMPRÉ.","Speaker 2"
"168850","169070"," Good.","Speaker 1"
"169230","169950"," NO LO COMPRÉ.","Speaker 1"
"170450","171330"," He bought it?","Speaker 1"
"172890","173770"," LO COMPRÓ.","Speaker 2"
"174010","174890"," LO COMPRÓ.","Speaker 1"
"175030","176050"," He bought it for me?","Speaker 1"
"177970","178890"," ME LO COMPRÓ.","Speaker 1"
"178970","179230"," Good.","Speaker 1"
"179510","180270"," We don't need the FOR.","Speaker 1"
"180470","180830"," Very good.","Speaker 1"
"180930","181690"," ME LO COMPRÓ.","Speaker 1"
"181690","183810"," We could use the FOR if we wanted.","Speaker 1"
"184330","188850"," If we wanted to emphasize or stress that it's for me.","Speaker 1"
"189190","190050"," So how would that be?","Speaker 1"
"191750","193070"," LO COMPRÓ PARA MÍ.","Speaker 1"
"193130","193370"," Good.","Speaker 1"
"193650","194830"," LO COMPRÓ PARA MÍ.","Speaker 1"
"195810","199170"," To send, in Spanish, is ENVIAR.","Speaker 1"
"199470","200030"," ENVIAR.","Speaker 1"
"200190","203830"," So we have ENVOY from this in English.","Speaker 1"
"204330","204830"," ENVELOPE.","Speaker 1"
"205250","206090"," Is that from that?","Speaker 1"
"206490","206670"," VASTE.","Speaker 2"
"206670","207830"," Or is it from ENVELOPE?","Speaker 1"
"207830","211290"," To encapsulate, you have encapsulate.","Speaker 1"
"212850","213410"," ENVELOPE.","Speaker 1"
"213450","216750"," But, like I said, we don't need to know when we consider these things.","Speaker 1"
"217110","220370"," Just considering it helps us remember that word.","Speaker 1"
"220810","227990"," And if you're particularly curious, there are, I mean, to check, there are some very good online free resources.","Speaker 1"
"228230","232070"," For example, etymonline.com.","Speaker 1"
"232470","235730"," E-T-Y-M-online.com.","Speaker 1"
"235730","243710"," It's an excellent free etymological dictionary where you can check any word you have a curiosity for.","Speaker 1"
"244490","246370"," So ENVIAR, to send.","Speaker 1"
"247130","247770"," I sent.","Speaker 1"
"249510","250110"," ENVIÉ.","Speaker 1"
"250250","250710"," Exactly.","Speaker 1"
"251190","252030"," I sent it.","Speaker 1"
"253810","254730"," LO ENVIÉ.","Speaker 2"
"254990","257010"," I sent it to you, speaking informally.","Speaker 1"
"259110","260230"," TE LO ENVIÉ.","Speaker 2"
"260350","260570"," Good.","Speaker 1"
"260670","262050"," I didn't send it to you.","Speaker 1"
"263430","264810"," NO TE LO ENVIÉ.","Speaker 2"
"264810","265050"," Good.","Speaker 2"
"265530","266370"," NO TE LO ENVIÉ.","Speaker 1"
"266850","273670"," The word for STILL or YET, the same word in Spanish, STILL or YET, is TODAVÍA.","Speaker 1"
"274410","275050"," TODAVÍA.","Speaker 1"
"275410","276050"," TODAVÍA.","Speaker 2"
"276230","286110"," Which is actually the combinations of TODO, here TODA in feminine, meaning ALL, and VÍA, like VIA in English, is AWAY.","Speaker 1"
"286910","288250"," So it's all the way.","Speaker 1"
"288510","299530"," But, of course, no Spanish speaker hears that when they hear TODAVÍA, just like when we say expressions like AS WELL, we don't think that that's built of AS and WELL.","Speaker 1"
"300070","308390"," So the words, sometimes the small words we build these bigger words out of, in English and in Spanish, don't make much sense to us most of the time.","Speaker 1"
"308610","325550"," But for a learner, it's useful for you to divide a word like TODAVÍA, because it's long and you might find it difficult to remember, and if you identify that it's TODA and VÍA, even if that doesn't really make any sense with the meaning of YET and STILL, it's going to help you internalize that vocabulary.","Speaker 1"
"326370","327270"," So YET or STILL?","Speaker 1"
"328130","328830"," TODAVÍA.","Speaker 2"
"328930","329550"," TODAVÍA.","Speaker 1"
"330150","332350"," I didn't send it to you yet.","Speaker 1"
"332750","333950"," Still speaking informally.","Speaker 1"
"336310","339030"," NO TE LO ENVIÉ TODAVÍA.","Speaker 2"
"339130","339370"," Good.","Speaker 2"
"339810","341290"," NO TE LO ENVIÉ TODAVÍA.","Speaker 1"
"341670","341950"," Good.","Speaker 1"
"342770","347250"," What was he sent, or she sent, or you formerly sent?","Speaker 1"
"347490","348050"," It's sent.","Speaker 1"
"350030","350450"," ENVIÓ.","Speaker 2"
"351070","351330"," Good.","Speaker 1"
"351690","352090"," ENVIÓ.","Speaker 1"
"352090","355190"," Yesterday, the word for yesterday was AYER.","Speaker 1"
"355310","357030"," A-Y-E-R.","Speaker 1"
"357190","357590"," AYER.","Speaker 1"
"357750","357990"," Good.","Speaker 1"
"358490","360750"," So how would you say he sent it yesterday?","Speaker 1"
"362610","364470"," LO ENVIÓ AYER.","Speaker 2"
