"start","end","text","speaker"
"2250","3210"," What was to know?","Speaker 1"
"5270","5710"," Saber.","Speaker 1"
"6010","6930"," Saber, good.","Speaker 1"
"7710","11010"," What would I know be if it follows our rules?","Speaker 1"
"11310","11650"," Sapo.","Speaker 1"
"12070","13930"," But it's not, it's se.","Speaker 1"
"14250","16710"," So it's an exception, S-E, se.","Speaker 1"
"16890","25970"," You might have heard lo se, lo se, literally I know it, because se by itself is a bit short, so you often hear people saying lo se, lo se, I know it, rather than se, se, se.","Speaker 1"
"26710","29750"," So this is irregular, very irregular, S-E.","Speaker 1"
"29750","33350"," But the rest of the versions of saber are regular.","Speaker 1"
"33910","37330"," So how would you say he knows, or she knows, or it knows, or you fool will know?","Speaker 1"
"39170","39610"," Saber.","Speaker 2"
"40070","40370"," Good.","Speaker 1"
"41270","42210"," So I don't know?","Speaker 1"
"44050","44450"," No se.","Speaker 1"
"44690","45110"," No se.","Speaker 1"
"45530","49910"," We said that quiero was I want, and quiero actually is an air verb.","Speaker 1"
"50750","53570"," So how would you say I don't know what he wants?","Speaker 1"
"53850","54470"," What is what?","Speaker 1"
"55850","56330"," Que.","Speaker 2"
"57250","59730"," No se que lo quiere.","Speaker 2"
"60950","61390"," Why lo?","Speaker 1"
"62170","62430"," He.","Speaker 1"
"62990","68170"," Firstly, you're not using the word for he, you're just saying he wants, and that's contained in the verb.","Speaker 1"
"68570","71490"," But lo is not he, it's him, not he.","Speaker 1"
"72170","73410"," We didn't learn yet the word for he.","Speaker 1"
"73510","78690"," On purpose, actually, we haven't been learning these words, so that we can just use the verb for now.","Speaker 1"
"79990","80970"," So try again.","Speaker 1"
"81050","82890"," I don't know what he wants.","Speaker 1"
"84210","87270"," No se que quiere.","Speaker 2"
"87790","87890"," Good.","Speaker 1"
"87910","89790"," You must feel comfortable with two words becoming one.","Speaker 1"
"90150","91670"," I don't know what he wants.","Speaker 1"
"91790","93230"," No se que quiere.","Speaker 1"
"93710","93950"," Good.","Speaker 1"
